Player,Tm,Pos,Type,Class,Details
Jason Croom,BUF,TE,Groin,probable,Croom missed the last game with a groin injury but is likely to play against the Lions on Sunday.
Derek Anderson,BUF,QB,Concussion,questionable,Anderson has sat out the past five games with a concussion and it is unknown if he will be cleared in time for Sunday's contest against the Lions.
Matt Milano,BUF,LB,Shin,I-R,Milano has landed on the injured reserve list due to a fractured fibula.
Ryan Lewis,BUF,CB,Concussion,questionable,Lewis is battling a concussion and it is uncertain if he will pass the league-mandated protocol in time for Sunday's contest against the Lions.
Taron Johnson,BUF,CB,Shoulder,I-R,Johnson is on injured reserve while healing from shoulder surgery.
Stephen Hauschka,BUF,K,Back,questionable,Hauschka has a lower-back injury and it is unknown if he will be available Sunday against the Lions.
Russell Bodine,BUF,C,Shin,I-R,Bodine is on injured reserve with a broken fibula.
Kevon Seymour,CAR,CB,Shoulder,I-R,Seymour has been placed on injured reserve with a shoulder injury.
Jared Norris,CAR,LB,Toe,I-R,Norris has been placed on injured reserve after having toe surgery.
Damiere Byrd,CAR,WR,Arm,I-R,Byrd has been placed on injured reserve with a broken arm.
Andre Smith,CAR,LB,Hamstring,out,Smith has been sidelined due to a hamstring injury and will miss an unknown length of time.
Fozzy Whittaker,CAR,RB,Knee,I-R,Whittaker has landed on the injured reserve list after tearing his ACL.
Cam Newton,CAR,QB,Shoulder,probable,Newton is battling a shoulder injury but is likely to be available Monday against the Saints.
Daryl Williams,CAR,T,Knee,I-R,Williams has been placed on the injured reserve list due to a knee injury. It is unknown if he will be activated in time for Monday's game against the Saints.
Elijah Hood,CAR,RB,Knee,I-R,Hood suffered a knee injury and is on the injured reserve list. It is unknown if he will suit up Monday against the Saints.
Da'Norris Searcy,CAR,S,Concussion,I-R,Searcy has been placed on Injured Reserve/Designated for Return list after recovering from a concussion and it is uncertain if he will be activated in time for Monday's contest against the Saints.
Matt Kalil,CAR,T,Knee,I-R,Kalil is on the injured reserve list after having arthroscopic right knee surgery conducted during the preseason and it is unclear if he will make his season debut Monday against the Saints.
Graham Gano,CAR,K,Knee,questionable,Gano sat out the last game due to a left knee sprain and it is unclear if he will be available against the Saints on Monday.
Amini Silatolu,CAR,G,Concussion,I-R,Silatolu has been on injured reserve with a concussion.
Brendan Mahon,CAR,G,Concussion,I-R,Mahon has a concussion and has been placed on the injured reserve list.
Greg Olsen,CAR,TE,Foot,I-R,Olsen ruptured the plantar fascia in his foot and is on injured reserve.
Ross Cockrell,CAR,CB,Shin,I-R,Cockrell is on the injured reserve list as he had surgery to repair a fractured left fibula and tibia.
Damian Parms,CAR,S,Shoulder,I-R,Parms is on injured reserve with a shoulder injury.
Andrew Trumbetti,CHI,LB,Undisclosed,I-R,Trumbetti is on injured reserve due to an unspecified ailment.
Sam Acho,CHI,LB,Pectoral,I-R,Acho has been designated for injured reserve with a torn pectoral muscle.
Dion Sims,CHI,TE,Concussion,I-R,Sims has been placed on injured reserve due to a concussion.
Kyle Long,CHI,G,Foot,I-R,Long has been placed on injured reserve and is expected to miss six-to-eight weeks due to a right foot injury.
Zach Miller,CHI,TE,Leg,I-R,Miller is expected to miss the entire 2018 season while on the PUP list as he is recuperating from vascular surgery to repair a torn popliteal artery in his dislocated left knee that ended his 2017 season.
Deon Bush,CHI,S,Hamstring,probable,Bush missed the last game due to a hamstring injury but is expected to play against the Packers on Sunday.
Allen Robinson,CHI,WR,Hip,probable,Robinson II has a hip injury but it is likely he will play Sunday against the Packers.
Bryce Callahan,CHI,CB,Foot,I-R,Callahan suffered a broken left foot and is on the injured reserve list.
Javon Wims,CHI,WR,Knee,questionable,Wims has sat out the previous four games due to a knee injury and it is unclear if he will return Sunday against the Packers.
Leonard Floyd,CHI,LB,Leg,questionable,Floyd departed the last game due to a left leg injury and it is undermined if he will be active Sunday against the Packers.
Ryan Glasgow,CIN,DT,Knee,I-R,Glasgow is on the injured reserve list with a torn ACL.
Trayvon Henderson,CIN,S,Arm,I-R,Henderson is on the injured reserve list with an arm injury.
Mason Schreck,CIN,TE,Knee,I-R,Schreck is on injured reserve due to a knee injury.
Tyler Eifert,CIN,TE,Ankle,I-R,Eifert is recovering from surgery to repair a broken right ankle while on the injured reserve list.
Jake Fisher,CIN,T,Back,I-R,Fisher is on injured reserve due to a back injury.
Andy Dalton,CIN,QB,Thumb,I-R,Dalton is on the injured reserve list due to torn ligaments in his right thumb.
Adolphus Washington,CIN,DT,Knee,I-R,Washington has been placed on injured reserve with a knee injury.
Josh Tupou,CIN,DT,Pectoral,I-R,Tupou has been placed on the injured reserve list with a pectoral injury.
Preston Brown,CIN,LB,Knee,I-R,Brown has been placed on the injured reserve list due to a knee injury.
Tyler Kroft,CIN,TE,Foot,I-R,Kroft is on the injured reserve list recovering from surgery to repair a fractured foot.
Carl Lawson,CIN,DE,Knee,I-R,Lawson suffered a torn ACL in his knee and is on the injured reserve list.
Josh Malone,CIN,WR,Hamstring,probable,Malone has missed the past five games with a hamstring injury but is expected to return Sunday against the Raiders.
KeiVarae Russell,CIN,CB,Finger,questionable,Russell is dealing with a finger injury and it is unknown if he will suit up against the Raiders on Sunday.
Clint Boling,CIN,G,Knee,questionable,Boling has a knee injury and it is unclear if he will play Sunday against the Raiders.
Michael Johnson,CIN,DE,Concussion,questionable,Johnson has a concussion and it is unknown if he will be cleared in time for Sunday's game against the Raiders.
Dre Kirkpatrick,CIN,CB,Ankle,questionable,Kirkpatrick was absent from the lineup during the last game with an ankle injury and it has yet to be established if he will be active against the Raiders on Sunday.
Vontaze Burfict,CIN,LB,Concussion,questionable,Burfict was held out of the previous game due to a concussion and it is undetermined if he will be cleared in time for Sunday's clash against the Raiders.
Tony McRae,CIN,CB,Concussion,questionable,McRae has sat out the last two games due to a concussion it is uncertain if he will pass protocol in time for Sunday's contest against the Raiders.
Cordy Glenn,CIN,T,Back,questionable,Glenn sat out his third-straight game due to a back injury and it is unknown if he will return to action Sunday against the Raiders.
Cethan Carter,CIN,TE,Shoulder,I-R,Carter suffered a shoulder injury and is on the injured reserve list.
A.J. Green,CIN,WR,Toe,I-R,Green sustained torn ligament in his toe on his left foot and has been placed on injured reserve.
Rod Taylor,CIN,G,Knee,I-R,Taylor has landed on injured reserve with a torn ACL.
Lenny Jones,CLE,DL,Undisclosed,I-R,Jones is on injured reserve due to an unspecified ailment.
Rod Streater,CLE,WR,Neck,I-R,Streater is on the injured reserve list with a broken bone in his neck.
Christian Kirksey,CLE,LB,Hamstring,I-R,Kirksey is on injured reserve due to a hamstring injury.
E.J. Gaines,CLE,DB,Concussion,I-R,Gaines has landed on the injured reserve list with a concussion.
Howard Wilson,CLE,DB,Foot,I-R,Wilson is on the injured reserve list due to patellar tendon surgery.
Ricardo Louis,CLE,WR,Neck,I-R,Louis has landed on the injured reserve list due to neck surgery.
Orson Charles,CLE,TE,Ankle,I-R,Charles has been placed on injured reserve with an ankle injury.
Denzel Ward,CLE,DB,Concussion,out,Ward was held out of the previous game with a concussion and will not be cleared in time for Saturday's tilt against the Broncos.
Austin Corbett,CLE,OL,Foot,out,Corbett has sat out the previous two games due to a foot injury and will not be available to face the Broncos on Saturday.
J.C. Tretter,CLE,OL,Ankle,probable,Tretter is dealing with an ankle injury but is expected to suit up against the Broncos on Saturday.
Desmond Harrison,CLE,OL,Illness,probable,Harrison has missed the past five games with an illness but is likely to return to the lineup against the Broncos on Saturday.
Larry Ogunjobi,CLE,DL,Bicep,questionable,Ogunjobi has a biceps injury and it is unclear if he will play Saturday against the Broncos.
Phillip Gaines,CLE,CB,Knee,questionable,Gaines missed the last game with a knee injury and it is undetermined if he will participate in Saturday's contest against the Broncos.
Derrick Willies,CLE,WR,Shoulder,I-R,Willies has been placed on injured reserve with a shoulder injury and it is unknown if he will be activated in time for Saturday's clash against the Broncos.
Pharaoh Brown,CLE,TE,Hamstring,I-R,Brown is on injured reserve with a hamstring injury.
James Wright,IND,WR,Knee,I-R,Wright has reverted to the injured reserve list after passing through waivers with a knee injury.
Ronald Martin,IND,S,Shoulder,I-R,Martin has been placed on injured reserve due to a shoulder injury.
J'Marcus Webb,IND,T,Hamstring,I-R,Webb is on the injured reserve list due to a hamstring injury.
Brad Kaaya,IND,QB,Back,I-R,Kaaya is on injured reserve with a back injury.
Ross Travis,IND,TE,Knee,I-R,Travis has been designated for injured reserve due to a torn ACL.
Jihad Ward,IND,DT,Ankle,I-R,Ward has been placed on the injured reserve due to damage to the ligaments in his left ankle.
Marcus Johnson,IND,WR,Ankle,I-R,Johnson is recovering from surgery to repair a torn ligament in his right ankle while on the injured reserve list.
Matt Slauson,IND,C,Back,I-R,Slauson has landed on the injured reserve list due to two cracked vertebrae in his back.
Jack Doyle,IND,TE,Kidney,I-R,Doyle is on the injured reserve list after recovering from a procedure he had conducted on his kidney.
Matthias Farley,IND,S,Hamstring,I-R,Farley is battling a hamstring injury and has been placed on injured reserve.
Carroll Phillips,IND,DE,Groin,I-R,Phillips is on the injured reserve list due to a groin injury.
Clayton Geathers,IND,S,Knee,questionable,Geathers has a knee injury and it is unclear if he will play Sunday against the Cowboys.
Dontrelle Inman,IND,WR,Shoulder,probable,Inman was absent from the lineup during the previous game with a shoulder injury but is likely to appear in the lineup against the Cowboys on Sunday.
Malik Hooker,IND,S,Hip,questionable,Hooker is nursing a hip injury and it is unknown if he will suit up against the Cowboys on Sunday.
Margus Hunt,IND,DT,Knee,questionable,Hunt is nursing a knee injury and it is uncertain if he will be available Sunday against the Cowboys.
T.Y. Hilton,IND,WR,Ankle,questionable,Hilton is dealing with an ankle injury and his status for Sunday's tilt with the Cowboys is in question.
Mo Alie-Cox,IND,TE,Calf,questionable,Alie-Cox has missed the last three games due to a calf injury and it is uncertain if he will return to action against the Cowboys on Sunday.
Mark Glowinski,IND,G,Ankle,questionable,Glowinski left the last game due to an ankle injury and it has yet to be established if he will take part in Sunday's clash against the Cowboys.
Hassan Ridgeway,IND,DT,Illness,questionable,Ridgeway has been held out of the past five games due to an illness and it is unclear if he will return to the lineup against the Cowboys on Sunday.
Mike Mitchell,IND,S,Calf,questionable,Mitchell sat out the previous game due to a calf injury and his status for Sunday's contest against the Cowboys is up in the air.
Ryan Kelly,IND,C,Knee,questionable,Kelly sat out his third-straight game due to a sprained MCL and it is unknown if he will return Sunday against the Cowboys.
Deon Cain,IND,WR,Knee,I-R,Cain has landed on injured reserve as he suffered a torn ACL.
Jeremy Cash,ARI,LB,Knee,I-R,Cash is on injured reserve due to a knee injury.
Jonathan Owens,ARI,S,Knee,I-R,Owens is on injured reserve with a knee ailment.
Gabe Martin,ARI,LB,Achilles,I-R,Martin is recovering from an Achilles injury while on injured reserve.
Jeremy Vujnovich,ARI,G,Hamstring,I-R,Vujnovich has a hamstring injury and been placed on injured reserve.
Josh Bynes,ARI,LB,Thumb,I-R,Bynes has been placed on injured reserve due to a substantial thumb injury.
Phil Dawson,ARI,K,Hip,I-R,Dawson is on injured reserve with a hip injury.
Justin Pugh,ARI,OL,Knee,I-R,Pugh has been designated for the injured reserve list with a torn MCL in his left knee.
John Wetzel,ARI,OL,Neck,I-R,Wetzel has been placed on injured reserve due to a neck injury.
Korey Cunningham,ARI,OL,Hip,probable,Cunningham is nursing a hip injury but is likely to be available Sunday against the Falcons.
Chad Williams,ARI,WR,Ankle,questionable,Williams sat out his fifth-straight game with an ankle injury and it is unclear if he will return to the lineup Sunday against the Falcons.
Robert Nkemdiche,ARI,DT,Knee,I-R,Nkemdiche has been designated for the injured reserve list with a torn ACL.
Budda Baker,ARI,S,Knee,questionable,Baker has a knee injury and it is unclear if he will play Sunday against the Falcons.
Oday Aboushi,ARI,OL,Toe,questionable,Aboushi is dealing with a toe injury and it is unknown if he will suit up against the Falcons on Sunday.
David Johnson,ARI,RB,Quadricep,probable,Johnson is expected to suit up against the Falcons on Sunday despite dealing with a quad injury.
Deone Bucannon,ARI,LB,Chest,questionable,Bucannon has been held out of the past three games due to an injured chest and it is unknown if he will return against the Falcons on Sunday.
Thurston Armbrister,ARI,LB,Hamstring,I-R,Armbrister has landed on injured reserve with a hamstring injury.
D.J. Humphries,ARI,OL,Knee,I-R,Humphries has landed on injured reserve due to a knee injury.
Olsen Pierre,ARI,DT,Knee,I-R,Pierre has landed on injured reserve due to a knee injury.
Christian Kirk,ARI,WR,Foot,I-R,Kirk has been placed on the injured reserve list due to a broken foot.
Mike Iupati,ARI,OL,Knee,I-R,Iupati is on injured reserve with an injured knee.
D.J. Foster,ARI,RB,Knee,I-R,Foster has been placed on injured reserve after he tore his ACL and MCL in his knee.
A.Q. Shipley,ARI,OL,Knee,I-R,Shipley is on injured reserve after suffering a torn right ACL.
Datone Jones,DAL,DE,Hamstring,I-R,Jones has landed on the injured reserve list due to a hamstring injury.
C.J. Goodwin,DAL,CB,Forearm,I-R,Goodwin has landed on the injured reserve as he recovers from surgery to repair a fractured forearm.
Geoff Swaim,DAL,TE,Wrist,out,Swain had surgery to fix a broken bone in his wrist and will miss three-to-four weeks.
Ezekiel Elliott,DAL,RB,Shoulder,probable,Elliott has a shoulder injury but is expected to suit up against the Colts on Sunday.
Tyron Smith,DAL,T,Neck,questionable,Smith is dealing with a neck injury and it is unclear if he will play Sunday against the Colts.
Parker Ehinger,DAL,G,Knee,I-R,Ehinger is on injured reserve with a knee injury and it has yet to be determined if he will be activated prior to Sunday's matchup against the Colts.
Tavon Austin,DAL,WR,Groin,questionable,Austin is sidelined due to a groin strain and it is unknown if he will play against the Colts on Sunday.
Terrance Williams,DAL,WR,Foot,I-R,Williams is on injured reserve while recovering from surgery to repair a right foot injury and it is uncertain if he will return Sunday against the Colts.
Zack Martin,DAL,G,Knee,probable,Martin exited the previous game due to an MCL sprain in his left knee but is expected to lineup Sunday against the Colts.
Sean Lee,DAL,LB,Hamstring,questionable,Lee suffered a hamstring injury and it is unclear if he will return to action against the Colts on Sunday.
David Irving,DAL,DL,Ankle,questionable,Irving has a high-ankle sprain and it is unclear if he will be available for Sunday's contest against the Colts.
Cedrick Wilson,DAL,WR,Shoulder,I-R,Wilson is on the injured reserve list due to a torn labrum in his shoulder.
Travis Frederick,DAL,C,Illness,I-R,Frederick in on the injured reserve list as he has been diagnosed with a condition known as Guillain Barre Syndrome that impacts the autoimmune system.
Jameill Showers,DAL,S,Knee,I-R,Showers is on injured reserve due to a torn ACL.
Marcus Martin,DAL,G,Toe,I-R,Martin has been designated for the injured reserve list due to a ligament tear in his right big toe.
Deiontrez Mount,DEN,LB,Achilles,I-R,Mount has landed on injured reserve with an Achilles injury.
Jerrol Garcia-Williams,DEN,LB,Knee,I-R,Garcia-Williams is on the injured reserve list due to a torn ACL.
Ronald Leary,DEN,G,Achilles,I-R,Leary suffered a torn Achilles and has landed on the injured reserve list.
Jake Butt,DEN,TE,Knee,I-R,Butt has been placed on IR after suffering a non-contact torn ACL in his left knee.
Jeff Heuerman,DEN,TE,Ribs,I-R,Heurman has been designated for the injured reserve list with three broken ribs and a bruised lung.
Shaquil Barrett,DEN,LB,Hip Flexor,out,Barrett is expected to miss three-to-four weeks due to a hip flexor injury.
Max Garcia,DEN,G,Knee,I-R,Garcia has a torn ACL and is on the injured reserve list.
Matt Paradis,DEN,C,Shin,I-R,Paradis has been placed on the injured reserve list due to a fractured right fibula.
Jordan Taylor,DEN,WR,Hip,I-R,Taylor is on the active PUP list as he is recovering from hip surgery.
Derek Wolfe,DEN,DE,Concussion,probable,Wolfe has cleared concussion protocol and is expected to take the field for Saturday's game against the Browns.
Brandon Marshall,DEN,LB,Knee,probable,Marshall has sat out the past five games due to a bone bruise in his knee but is expected to return to the lineup against the Browns on Saturday.
Matt LaCosse,DEN,TE,Shoulder,probable,LaCosse has a shoulder injury but is projected to play Saturday against the Browns.
Isaac Yiadom,DEN,CB,Shoulder,out,Yiadom left the previous game due to a left shoulder separation and will not suit up Saturday against the Browns.
Courtland Sutton,DEN,WR,Quadricep,probable,Sutton was forced from the previous game due to an injured quadriceps muscle but is expected to participate in Saturday's tilt against the Browns.
Tramaine Brock,DEN,DB,Ribs,probable,Brock has missed the last two games due to injured ribs but is expected to face the Browns on Saturday.
Nico Falah,DEN,G,Concussion,out,Falah is sideline with a concussion and it is unclear when he will pass the league-mandated protocol and return to the lineup.
Troy Fumagalli,DEN,TE,Groin,I-R,Fumagalli is dealing with a groin injury and has landed on the injured reserve list.
Emmanuel Sanders,DEN,WR,Achilles,I-R,Sanders suffered a torn left Achilles and is on the injured reserve list.
Chris Harris,DEN,CB,Shin,out,Harris Jr. suffered a fractured fibula. He is eyeing a return for Week 17 against the Chargers.
Jamal Carter,DEN,S,Hamstring,I-R,Carter has landed on injured reserve due to a substantial hamstring injury.
Marvin Jones,DET,WR,Knee,I-R,Jones Jr. has been designated for the injured reserve list due to a knee contusion.
T.J. Lang,DET,G,Neck,I-R,Lang is on injured reserve due to a neck injury.
Nick Bawden,DET,FB,Knee,I-R,Bawden is on the injured reserve list due to a torn ACL.
Kerry Hyder,DET,DE,Illness,probable,Hyder Jr. sat out the last game with illness but is expected to be available against the Bills on Sunday.
Bruce Ellington,DET,WR,Hamstring,doubtful,Ellington was forced from the last game with a hamstring injury and is unlikely to be active Sunday against the Bills.
Matthew Stafford,DET,QB,Back,probable,Stafford is expected to be available against the Bills on Sunday despite a back injury.
Taylor Decker,DET,T,Shoulder,questionable,Decker has a shoulder injury and it is unknown if he will suit up against the Bills on Sunday.
Brandon Powell,DET,WR,Calf,questionable,Powell has been held out of the previous two games due to a calf injury and it is unknown if he will be in the lineup against the Bills on Sunday.
Marcus Cooper,DET,DB,Back,questionable,Cooper Sr. was lifted from the previous game due to a back injury and his availability against the Bills on Sunday is clouded.
Charles Washington,DET,S,Hamstring,questionable,Washington was removed from the last game due to an injured hamstring and it has yet to be determined if it will hinder his availability against the Bills on Sunday.
Ezekiel Ansah,DET,DE,Shoulder,I-R,Ansah has landed on the injured reserve list with a shoulder injury.
Devon Kennard,DET,LB,Hip,questionable,Kennard missed the previous game with an injured hip and it is uncertain if he will be active Sunday against the Bills.
Kerryon Johnson,DET,RB,Knee,questionable,Johnson has missed the past three games due to a left knee sprain and it is unclear if he will return Sunday against the Bills.
Da'Shawn Hand,DET,DL,Knee,questionable,Hand exited the previous game with a knee injury and it has yet to be established if it will prevent him from playing against the Bills on Sunday.
Nick Bellore,DET,FB,Ankle,questionable,Bellore departed the last game due to an ankle injury and it is uncertain if he take part in Sunday's contest against the Bills.
Ricky Wagner,DET,T,Concussion,questionable,Wagner suffered a concussion in the previous game and it is undetermined if he will be cleared in time for Sunday's clash against the Bills.
Trevor Bates,DET,LB,Ankle,questionable,Bates has been absent from the lineup during the past two games due to an ankle injury and it is unknown if he will face the Bills on Sunday.
Michael Roberts,DET,TE,Shoulder,I-R,Roberts has been placed on injured reserve due to a shoulder injury.
Jamal Agnew,DET,CB,Knee,I-R,Agnew is on the Injured Reserve/Designated for Return list with a knee injury. It is unclear if he will be activated in time for Sunday's game against the Bills.
Jalen Reeves-Maybin,DET,LB,Neck,I-R,Reeves-Maybin has landed on injured reserve due to a neck injury.
Steve Longa,DET,LB,Knee,I-R,Longa has landed on injured reserve as he suffered a torn ACL.
Muhammad Wilkerson,GNB,DL,Ankle,I-R,Wilkerson had surgery to repair a significant ankle injury and has been placed on injured reserve.
Kyle Murphy,GNB,T,Ankle,I-R,Murphy has landed on the injured reserve list due to an ankle issue.
Davon House,GNB,CB,Shoulder,I-R,House has landed on injured reserve while recovering from shoulder surgery.
Nick Perry,GNB,LB,Knee,I-R,Perry has been placed on injured reserve with a knee injury.
Cole Madison,GNB,G,Personal,I-R,Madison has been placed on the IR/Did Not Report list as he is away from the team and will not return.
Geronimo Allison,GNB,WR,Groin,I-R,Allison has been placed on injured reserve with a core-muscle injury.
Randall Cobb,GNB,WR,Hamstring,probable,Cobb has a hamstring injury but is projected to play Sunday against the Bears.
Bashaud Breeland,GNB,CB,Groin,questionable,Breeland is dealing with a personal matter and it is unknown if he will be available Sunday against the Bears.
Byron Bell,GNB,T,Knee,I-R,Bell is on injured reserve with a knee injury.
Jimmy Graham,GNB,TE,Knee,questionable,Graham is dealing with a knee injury and a broken left thumb. It is unknown if he will suit up against the Bears on Sunday.
Clay Matthews,GNB,LB,Ankle,questionable,Matthews is battling an ankle injury and it is undetermined if it will prevent him from playing against the Bears on Sunday.
Bryan Bulaga,GNB,T,Knee,questionable,Bulaga sat out the last game due to a knee injury and his status for Sunday's tilt against the Bears is up in the air.
Kenny Clark,GNB,DL,Elbow,questionable,Clark was forced from the last game with an elbow injury and it is uncertain if he will take part in Sunday's contest against the Bears.
Lane Taylor,GNB,G,Foot,questionable,Taylor was held out of the previous game with a foot injury and it is unknown if he will face the Bears on Sunday.
Raven Greene,GNB,S,Ankle,I-R,Greene is on the injured reserve with an ankle injury.
Tra Carson,GNB,HB,Ribs,I-R,Carson is on injured reserve with injured ribs.
Kevin King,GNB,CB,Hamstring,I-R,King has landed on injured reserve due to an injured hamstring.
Ibraheim Campbell,GNB,S,Undisclosed,I-R,Campbell is on injured reserve due to an unspecified ailment.
Trevor Davis,GNB,WR,Hamstring,I-R,Davis is on injured reserve due to a hamstring injury.
Mike Daniels,GNB,DL,Foot,I-R,Daniels is on injured reserve with a foot injury.
Jake Ryan,GNB,LB,Knee,I-R,Ryan is on injured reserve with a torn ACL.
Seantrel Henderson,HOU,T,Ankle,I-R,Henderson has landed on the injured reserve list after undergoing surgery for a broken ankle.
Will Fuller,HOU,WR,Knee,I-R,Fuller V is on the injured reserve list due to a torn ACL in his right knee.
Keke Coutee,HOU,WR,Hamstring,probable,Coutee has missed the past two games due to an injured hamstring but is likely to be active Saturday against the Jets.
Johnathan Joseph,HOU,CB,Neck,probable,Joseph is nursing a neck injury but is projected to suit up Saturday against the Jets.
DeAndre Carter,HOU,WR,Concussion,probable,Carter left the last game with a concussion but is expected to be cleared in time for Saturday's contest against the Jets.
Kayvon Webster,HOU,CB,Quadricep,I-R,Webster has been placed on Injured Reserve/Designated for Return list with a strained quadriceps muscle and it is uncertain if he will be activated in time for Saturday's game against the Jets.
Kevin Johnson,HOU,CB,Concussion,I-R,Johnson has been placed on injured reserve due to a concussion.
Andre Hal,HOU,S,Ankle,questionable,Hal has an ankle injury and it is unclear if he will play Saturday against the Jets.
J.J. Watt,HOU,DE,Knee,probable,Watt is tending to a lingering knee injury but is likely to partake in Saturday's clash against the Jets.
Kareem Jackson,HOU,CB,Knee,probable,Jackson is dealing with a knee injury but is projected to be available against the Jets on Saturday.
Senio Kelemete,HOU,G,Elbow,questionable,Kelemete is battling an elbow injury and it is undetermined if it will prevent him from playing Saturday against the Jets.
DeAndre Hopkins,HOU,WR,Foot,probable,Hopkins is expected to suit up against the Jets on Saturday despite an ongoing foot injury.
Jermaine Kelly,HOU,CB,Undisclosed,I-R,Kelly has been placed on injured reserve with an unspecified ailment.
Zach Fulton,HOU,C,Hand,questionable,Fulton sat out the previous game due to a hand injury and his status for Saturday's matchup against the Jets is in question.
D'Onta Foreman,HOU,RB,Achilles,questionable,Foreman has been activated from the PUP list after recovering from a torn Achilles but it is unclear if he will make his season debut against the Jets on Saturday.
Brennan Scarlett,HOU,LB,Ankle,I-R,Scarlett has been placed on the injured reserve with an ankle injury.
Cam Robinson,JAX,OL,Knee,I-R,Robinson has landed on injured reserve after suffering a torn ACL.
Michael Hughes,JAX,DT,Undisclosed,I-R,Hughes is on injured reserve with an unspecified injury.
Donald Payne,JAX,LB,Knee,I-R,Payne has been placed on the injured reserve list due to a sprained MCL in his knee and it is unknown if he will be activated in time for Week 16 against the Dolphins.
Will Richardson,JAX,OL,Knee,I-R,Richardson Jr. has been placed on injured reserve with a knee injury.
Josh Wells,JAX,OL,Groin,I-R,Wells has been placed on injured reserve with a groin injury.
Carson Tinker,JAX,LS,Knee,I-R,Tinker has been designated for injured reserve due to a knee injury.
Corey Grant,JAX,RB,Foot,I-R,Grant has been placed on the injured reserve list due to a Lisfranc injury in his foot.
Andrew Norwell,JAX,OL,Ankle,I-R,Norwell has landed on the injured reserve list due to a severe ankle sprain.
Brandon Linder,JAX,OL,Knee,I-R,Linder suffered a right knee injury and is on injured reserve.
Josh Lambo,JAX,K,Groin,questionable,Lambo is bothered by a right groin injury and it is uncertain if he will be in Sunday's lineup against the Redskins.
James O'Shaughnessy,JAX,TE,Ankle,questionable,O'Shaughnessy is dealing with an ankle injury and it is unknown if he will suit up against the Redskins on Sunday.
DJ Chark,JAX,WR,Quadricep,doubtful,Chark Jr. has been absent from the lineup during the previous three games with an injured quadriceps and it is unlikely he will return Sunday against the Redskins.
Jermey Parnell,JAX,OL,Knee,questionable,Parnell has a knee injury and it is unclear if he will play Sunday against the Redskins.
Josh Walker,JAX,OL,Ankle,questionable,Walker has sat out the past four games with an injured ankle and it is unclear if he will return to the lineup against the Redskins on Sunday.
Niles Paul,JAX,TE,Knee,I-R,Paul has been designated for the injured reserve list due to a sprained MCL in his knee and it is unknown if he will return to action against the Redskins on Sunday.
Jaydon Mickens,JAX,WR,Ankle,I-R,Mickens has been placed on injured reserve due to a fractured ankle injury and it is undetermined if he will return Sunday against the Redskins.
Abry Jones,JAX,DT,Shin,questionable,Jones sat out last game with a shin contusion and it is unknown if he will face the Redskins on Sunday.
Leon Jacobs,JAX,LB,Quadricep,questionable,Jacobs left the last game due to an injured quadriceps and his status for Sunday's clash against the Redskins is clouded.
Tre Herndon,JAX,CB,Ankle,questionable,Herndon has been held out of the last two games due to an injured ankle and his availability is in question for Sunday's contest against the Redskins.
